CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-08-25 11:28:01.336000-07:00,2023-08-25 11:31:22.836000-07:00,CREATE STAGE,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_ADMIN,False,SYSADMIN,2023-08-25 11:31:22.836000-07:00,ROLE
2023-08-25 10:55:59.689000-07:00,2023-08-25 10:55:59.689000-07:00,CREATE FILE FORMAT,SCHEMA,PUBLIC,CRIMSON,PUBLIC,ROLE,CRIMSON_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:37:35.817000-07:00,2023-08-25 11:37:35.817000-07:00,USAGE,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_ADMIN,False,SYSADMIN,,ROLE
2023-08-25 11:37:35.069000-07:00,2023-08-25 11:37:35.069000-07:00,CREATE MATERIALIZED VIEW,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:37:34.889000-07:00,2023-08-25 11:37:34.889000-07:00,CREATE TEMPORARY TABLE,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:31:18.689000-07:00,2023-08-25 11:37:33.547000-07:00,USAGE,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:37:33.547000-07:00,ROLE
2023-08-25 11:37:34.876000-07:00,2023-08-25 11:37:34.876000-07:00,CREATE TEMPORARY TABLE,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:31:21.843000-07:00,2023-08-25 11:37:33.500000-07:00,CREATE TEMPORARY TABLE,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:37:33.500000-07:00,ROLE
2023-08-25 10:52:27.579000-07:00,2023-08-25 10:52:27.579000-07:00,CREATE VIEW,SCHEMA,PUBLIC,CRIMSON_DEV,PUBLIC,ROLE,CRIMSON_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 10:03:19.960000-07:00,2023-08-25 10:03:19.960000-07:00,USAGE,SCHEMA,PUBLIC,ADMINISTRATIVE,PUBLIC,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:27:59.503000-07:00,2023-08-25 11:31:17.740000-07:00,CREATE PROCEDURE,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:31:17.740000-07:00,ROLE
2023-08-25 10:56:02.226000-07:00,2023-08-25 10:56:02.226000-07:00,CREATE EXTERNAL TABLE,SCHEMA,PUBLIC,CRIMSON,PUBLIC,ROLE,CRIMSON_ADMIN,False,SYSADMIN,,ROLE
