CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-07-27 13:51:08.177000-07:00,2023-07-27 13:51:08.177000-07:00,OWNERSHIP,WAREHOUSE,WH_DAYFORCE,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 13:49:33.266000-07:00,2023-07-27 13:49:33.266000-07:00,OWNERSHIP,WAREHOUSE,WH_WORKGROUP_B,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 13:49:55.098000-07:00,2023-07-27 13:49:55.098000-07:00,OWNERSHIP,WAREHOUSE,WH_WORKGROUP_C,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 13:08:26.001000-07:00,2023-07-27 13:08:26.001000-07:00,OWNERSHIP,WAREHOUSE,WH_IUF_EXTERNAL_REPORTS,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 13:50:50.350000-07:00,2023-07-27 13:50:50.350000-07:00,OWNERSHIP,WAREHOUSE,WH_CRIMSON,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 13:13:01.595000-07:00,2023-07-27 13:13:01.595000-07:00,OWNERSHIP,WAREHOUSE,WH_IUF_INTERNAL_REPORTS,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 12:23:22.836000-07:00,2023-07-27 12:23:22.836000-07:00,OWNERSHIP,WAREHOUSE,WH_FEM,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 14:04:35.066000-07:00,2023-07-28 11:54:18.401000-07:00,OWNERSHIP,PROCEDURE,GRANT_ACCESS_WITH_PRIVILEGES_IF_ROLES_MATCH():VARCHAR(16777216),ADMINISTRATION,PUBLIC,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,2023-07-28 11:54:18.401000-07:00,ROLE
2023-07-28 08:12:59.717000-07:00,2023-07-28 11:54:11.363000-07:00,OWNERSHIP,PROCEDURE,"CREATE_DATABASE_SCHEMA_ROLE(W_NAME VARCHAR, W_SYSTEM_ACCOUNT BOOLEAN, W_PARENT_ROLE VARCHAR, W_CREATE_ROLES_ONLY BOOLEAN):VARCHAR(16777216)",ADMINISTRATION,PUBLIC,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,2023-07-28 11:54:11.363000-07:00,ROLE
2023-07-27 12:12:26.202000-07:00,2023-07-28 11:53:33.816000-07:00,OWNERSHIP,PROCEDURE,CREATE_DATABASE_SCHEMA_ROLE(W_NAME VARCHAR):VARCHAR(16777216),ADMINISTRATION,PUBLIC,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,2023-07-28 11:53:33.816000-07:00,ROLE
2023-07-27 12:55:16.552000-07:00,2023-07-28 11:53:54.811000-07:00,OWNERSHIP,PROCEDURE,"CREATE_DATABASE_SCHEMA_ROLE(W_NAME VARCHAR, W_SYSTEM_ACCOUNT BOOLEAN, W_PARENT_ROLE VARCHAR):VARCHAR(16777216)",ADMINISTRATION,PUBLIC,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,2023-07-28 11:53:54.811000-07:00,ROLE
2023-07-27 12:40:20.214000-07:00,2023-07-28 11:53:45.353000-07:00,OWNERSHIP,PROCEDURE,"CREATE_DATABASE_SCHEMA_ROLE(W_NAME VARCHAR, W_SYSTEM_ACCOUNT BOOLEAN):VARCHAR(16777216)",ADMINISTRATION,PUBLIC,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,2023-07-28 11:53:45.353000-07:00,ROLE
2023-07-27 14:00:36.833000-07:00,2023-07-28 11:55:04.323000-07:00,OWNERSHIP,TABLE,DEFAULT_ROLE_PERMISSIONS_ASSIGNED,ADMINISTRATION,PUBLIC,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,2023-07-28 11:55:04.323000-07:00,ROLE
2023-07-27 11:55:38.140000-07:00,2023-07-28 11:52:52.260000-07:00,OWNERSHIP,SCHEMA,PUBLIC,ADMINISTRATION,PUBLIC,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,2023-07-28 11:52:52.260000-07:00,ROLE
2023-07-28 12:42:30.156000-07:00,2023-07-28 12:42:30.156000-07:00,OWNERSHIP,USER,PYTHONRUN,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-28 12:44:01.808000-07:00,2023-07-28 12:44:01.808000-07:00,USAGE,ROLE,PYTHONRUN,,,ROLE,ALL_INTERNAL_REPORTS_EDITOR,False,ACCOUNTADMIN,,ROLE
2023-07-28 12:49:35.301000-07:00,2023-07-28 12:49:35.301000-07:00,CREATE WAREHOUSE,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,SYSADMIN,,ROLE
2023-07-28 12:49:35.223000-07:00,2023-07-28 12:49:35.223000-07:00,CREATE DATABASE,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,SYSADMIN,,ROLE
2023-07-28 11:52:29.894000-07:00,2023-07-28 11:52:29.894000-07:00,OWNERSHIP,DATABASE,WORKGROUP_C_DEV,WORKGROUP_C_DEV,,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-07-28 11:52:14.978000-07:00,2023-07-28 11:52:14.978000-07:00,OWNERSHIP,DATABASE,FEM_DEV,FEM_DEV,,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-07-28 11:52:25.885000-07:00,2023-07-28 11:52:25.885000-07:00,OWNERSHIP,DATABASE,WORKGROUP_A_DEV,WORKGROUP_A_DEV,,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-07-28 11:52:12.564000-07:00,2023-07-28 11:52:12.564000-07:00,OWNERSHIP,DATABASE,DAYFORCE_STG,DAYFORCE_STG,,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-07-28 11:52:18.920000-07:00,2023-07-28 11:52:18.920000-07:00,OWNERSHIP,DATABASE,IUF_EXTERNAL_REPORTS,IUF_EXTERNAL_REPORTS,,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-07-28 11:52:17.992000-07:00,2023-07-28 11:52:17.992000-07:00,OWNERSHIP,DATABASE,IUF_EXTERNAL_DEV,IUF_EXTERNAL_DEV,,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-07-28 11:52:24.075000-07:00,2023-07-28 11:52:24.075000-07:00,OWNERSHIP,DATABASE,SMART_RECRUITER_DEV,SMART_RECRUITER_DEV,,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-07-28 11:52:10.690000-07:00,2023-07-28 11:52:10.690000-07:00,OWNERSHIP,DATABASE,DAYFORCE,DAYFORCE,,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-07-28 11:52:29.281000-07:00,2023-07-28 11:52:29.281000-07:00,OWNERSHIP,DATABASE,WORKGROUP_C,WORKGROUP_C,,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-07-28 11:52:13.926000-07:00,2023-07-28 11:52:13.926000-07:00,OWNERSHIP,DATABASE,FEM,FEM,,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-07-28 11:52:28.602000-07:00,2023-07-28 11:52:28.602000-07:00,OWNERSHIP,DATABASE,WORKGROUP_B_STG,WORKGROUP_B_STG,,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-07-28 11:52:27.362000-07:00,2023-07-28 11:52:27.362000-07:00,OWNERSHIP,DATABASE,WORKGROUP_B,WORKGROUP_B,,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
