CREATED_ON,DELETED_ON,NAME,COMMENT,OWNER,ROLE_TYPE,ROLE_DATABASE_NAME
2023-07-28 12:27:17.674000-07:00,,IUF_EXTERNAL_REPORTS_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:44.188000-07:00,,ALL_SYSTEMS_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-28 12:27:08.893000-07:00,,ALL_INTERNAL_REPORTS_READONLY,,USERADMIN,ROLE,
2023-07-31 09:13:12.335000-07:00,,ALL_IUF_WORKGROUPS_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-27 13:49:58.980000-07:00,2023-07-28 07:49:59.907000-07:00,WORKGROUP_C_DEV_READONLY,,,ROLE,
2023-07-27 12:12:33.320000-07:00,2023-07-27 13:42:13.013000-07:00,WORK_GROUP_C_EDITOR,,,ROLE,
2023-07-27 12:51:02.740000-07:00,2023-07-28 08:02:53.502000-07:00,INTERNAL_REPORTS_STG,Enterprise IUF Wide Reports,,ROLE,
2023-07-27 13:42:58.295000-07:00,2023-07-28 07:48:24.644000-07:00,IUF_INTERNAL_REPORTS_STG_READONLY,,,ROLE,
2023-07-27 13:48:02.906000-07:00,2023-07-28 08:02:55.641000-07:00,IUF_EXTERNAL_REPORTS_STG,,,ROLE,
2023-07-27 12:12:35.232000-07:00,2023-07-27 13:06:43.666000-07:00,WORK_GROUP_C_STG_ADMIN,,,ROLE,
2023-07-27 13:50:57.967000-07:00,2023-07-28 08:02:35.133000-07:00,CRIMSON_STG_ADMIN,,,ROLE,
2023-07-27 12:39:50.279000-07:00,2023-07-27 13:41:53.558000-07:00,FEM_DEV_EDITOR,,,ROLE,
2023-07-27 13:17:36.320000-07:00,2023-07-27 13:42:03.806000-07:00,IUF_INTERNAL_REPORTS,,,ROLE,
2023-07-27 13:49:33.717000-07:00,2023-07-28 07:51:14.050000-07:00,WORKGROUP_B,,,ROLE,
2023-07-27 13:42:57.885000-07:00,2023-07-28 07:48:22.921000-07:00,IUF_INTERNAL_REPORTS_STG,,,ROLE,
2023-07-27 12:12:36.548000-07:00,2023-07-27 13:42:11.470000-07:00,WORK_GROUP_C_DEV_EDITOR,,,ROLE,
2023-07-28 10:01:23.721000-07:00,2023-07-28 12:27:07.239000-07:00,ALL_EXTERNAL_REPORTS_EDITOR,,,ROLE,
2023-07-27 13:50:53.782000-07:00,2023-07-28 09:51:57.069000-07:00,CRIMSON_EDITOR,,,ROLE,
2023-07-28 08:13:32.887000-07:00,2023-07-28 08:15:32.346000-07:00,IUF_INTERNAL_REPORTS_STG,,,ROLE,
2023-07-27 11:42:24.347000-07:00,2023-07-28 12:27:21.261000-07:00,STAGE,,,ROLE,
2023-07-31 09:12:55.986000-07:00,,ALL_INTERNAL_REPORTS_STG_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:42.382000-07:00,,ALL_REPORTING_STG_EDITOR,,USERADMIN,ROLE,
2023-07-27 12:49:48.977000-07:00,2023-07-28 09:55:00.371000-07:00,ORGANIZATION_WIDE,,,ROLE,
2023-07-27 13:51:37.329000-07:00,2023-07-28 12:27:20.070000-07:00,SMART_RECRUITER_EDITOR,,,ROLE,
2023-07-27 12:34:52.553000-07:00,2023-07-28 08:03:05.847000-07:00,SYSTEM_DEV,Account that are sourced from a system or application,,ROLE,
2023-07-27 13:48:04.560000-07:00,2023-07-28 07:48:16.926000-07:00,IUF_EXTERNAL_REPORTS_STG_EDITOR,,,ROLE,
2023-07-28 12:27:21.261000-07:00,2023-07-31 09:49:50.544000-07:00,STAGE,,,ROLE,
2023-07-28 08:05:20.404000-07:00,2023-07-28 09:51:51.563000-07:00,IUF_HR_SYSTEMS_EDITOR,,,ROLE,
2023-07-27 13:04:46.536000-07:00,2023-07-28 08:02:45.584000-07:00,EXTERNAL_REPORTS_DEV,,,ROLE,
2023-07-28 08:13:33.545000-07:00,2023-07-28 08:15:13.366000-07:00,IUF_INTERNAL_REPORTS_DEV,,,ROLE,
2023-07-27 13:49:37.714000-07:00,2023-07-28 07:50:04.894000-07:00,WORKGROUP_B_DEV_READONLY,,,ROLE,
2023-07-31 09:13:31.957000-07:00,,IUF_INTERNAL_REPORTS_STG_EDITOR,,USERADMIN,ROLE,
2023-07-27 10:30:36.286000-07:00,,ACCOUNTADMIN,Account administrator can manage all aspects of the account.,,ROLE,
2023-07-31 10:01:54.890000-07:00,,WORKGROUP_C_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:53:58.004000-07:00,,DAYFORCE_DEV_EDITOR,,USERADMIN,ROLE,
